Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
RER NECKS 14,The Necks,Three,ReR Megacorp,"CD, Album",2020,14985529,Uncategorized,27/04/2020 13:32,27/04/2020,13:32:00,ReR Megacorp,,Different,CD,5
ReR Necks 8,The Necks,Townsville,ReR Megacorp,"CD, Album",2007,1223174,Uncategorized,24/11/2019 15:38,24/11/2019,15:38:00,ReR Megacorp,,Different,CD,2
ReR NECKS V10,The Necks,Mindset,ReR Megacorp,"LP, Album",2011,3184577,Uncategorized,23/11/2019 18:55,23/11/2019,18:55:00,ReR Megacorp,,Different,LP,30
RESCD012,Port-Royal,Flares,Resonant,"CD, Album",2005,479154,Uncategorized,01/12/2019 00:27,12/01/2019,00:27:00,Resonant,,Different,CD,5
RESCD013,Blindfold (2),Blindfold,Resonant,"CD, Album",2005,479148,Uncategorized,07/12/2019 22:56,12/07/2019,22:56:00,Resonant,,Different,CD,7
RESCD014,ÖLVIS,The Blue Sound,Resonant,"CD, Album",2005,507380,Uncategorized,07/12/2019 23:19,12/07/2019,23:19:00,Resonant,,Different,CD,5
74321670302,Spain,She Haunts My Dreams,Restless Records,"CD, Album",1999,406876,Uncategorized,23/11/2019 20:22,23/11/2019,20:22:00,Restless Records,,Different,CD,2
rwr-1,Various,Remotely Together,Rewire,LP,2023,26713280,Uncategorized,01/08/2023 14:41,08/01/2023,14:41:00,Rewire,,Different,LP,45
"081227945190, 1451",John Coltrane & Don Cherry,The Avant-Garde,"Rhino Records (2), Atlantic","LP, Mono, RE, ",2017,10580547,Uncategorized,26/06/2021 03:43,26/06/2021,03:43:00,Rhino Records (2),Atlantic,Different,LP,44
ROCKACT80CD,Mogwai,Rave Tapes,Rock Action Records,"CD, Album, Dig",2014,5299855,Uncategorized,01/12/2019 00:35,12/01/2019,00:35:00,Rock Action Records,,Different,CD,3
EDRM414,Tim Hecker,Norberg,Room40,"Minimax, EP",2007,1129861,Uncategorized,01/12/2019 00:10,12/01/2019,00:10:00,Room40,,Different,"Minimax, EP",3
EDRM417,Various,Airport Symphony,Room40,"xCD, Comp",2007,1106042,Uncategorized,25/12/2019 12:55,25/12/2019,12:55:00,Room40,,Different,CD,7
RM403,Ben Frost,Steel Wound,Room40,"CD, Album",2003,198404,Uncategorized,01/12/2019 00:34,12/01/2019,00:34:00,Room40,,Different,CD,2
RM408,M. Rösner,Alluvial,Room40,"CD, Album",2005,527558,Uncategorized,07/12/2019 22:24,12/07/2019,22:24:00,Room40,,Different,CD,3
RM4107,John Chantler,Tomorrow Is Too Late,Room40,LP,2019,14278356,Uncategorized,08/12/2019 14:54,12/08/2019,14:54:00,Room40,,Different,LP,13
RM415,Tenniscoats,Totemo Aimasho = とてもあいましょう,Room40,"CD, Album",2007,1377041,Uncategorized,20/12/2019 10:45,20/12/2019,10:45:00,Room40,,Different,CD,3
RM416,Greg Davis & Jeph Jerman,Ku,Room40,CD,2006,982043,Uncategorized,25/11/2019 00:15,25/11/2019,00:15:00,Room40,,Different,CD,5
RM417,ERIKM ( Luc Ferrari ) & Thomas Lehn,Les Protorhythmiques,Room40,"CD, Album",2007,1093318,Uncategorized,25/12/2019 12:53,25/12/2019,12:53:00,Room40,,Different,CD,7
RM419,Janek Schaefer,In The Last Hour,Room40,"CD, Album",2006,799855,Uncategorized,01/12/2019 00:31,12/01/2019,00:31:00,Room40,,Different,CD,4
RM422,Ralph Steinbrüchel,Basis,Room40,"CD, Album",2007,1105996,Uncategorized,01/12/2019 00:29,12/01/2019,00:29:00,Room40,,Different,CD,6
RM425,Tomasz Bednarczyk,Painting Sky Together,Room40,"CD, Album",2009,1548641,Uncategorized,07/12/2019 22:43,12/07/2019,22:43:00,Room40,,Different,CD,5
RM430,Marina Rosenfeld,Plastic Materials,Room40,"CD, Album",2009,1963018,Uncategorized,01/12/2019 00:27,12/01/2019,00:27:00,Room40,,Different,CD,3
RM432,Chihei Hatakeyama,Saunter,Room40,"CD, Album",2009,1767807,Uncategorized,01/12/2019 00:09,12/01/2019,00:09:00,Room40,,Different,CD,7
RM435,"Tujiko Noriko, Lawrence English & John Chantler",U,Room40,CD,2008,1500328,Uncategorized,01/12/2019 00:19,12/01/2019,00:19:00,Room40,,Different,CD,3
RM436,Tenniscoats,Temporacha,Room40,"CD, Album, Ltd",2009,1677900,Uncategorized,20/12/2019 10:46,20/12/2019,10:46:00,Room40,,Different,CD,6
RM437,Chris Abrahams,Play Scar,Room40,"CD, Album",2010,2339182,Uncategorized,25/12/2019 12:50,25/12/2019,12:50:00,Room40,,Different,CD,3
RM463,John Chantler,Which Way To Leave?,Room40,"LP, Album, Ltd, Cle",2016,8903971,Uncategorized,22/11/2019 15:25,22/11/2019,15:25:00,Room40,,Different,LP,41
RM474,Norman Westberg,MRI,Room40,"CD, Album",2016,8389901,Uncategorized,07/12/2019 22:25,12/07/2019,22:25:00,Room40,,Different,CD,6
RM481,Norman Westberg,After Vacation,Room40,"LP, Album, Cle",2018,12249886,Uncategorized,22/11/2019 18:14,22/11/2019,18:14:00,Room40,,Different,LP,15
RTRADCD223,Antony And The Johnsons,I Am A Bird Now,Rough Trade,"CD, Album, Del",2005,398081,Uncategorized,07/12/2019 22:46,12/07/2019,22:46:00,Rough Trade,,Different,CD,3
RTRADCD287,Sun Kil Moon,Tiny Cities,Rough Trade,"CD, Album, Dig",2005,1590476,Uncategorized,07/12/2019 22:24,12/07/2019,22:24:00,Rough Trade,,Different,CD,7
RTRADCDX195,Low,A Lifetime Of Temporary Relief - 10 Years Of B-Sides & Rarities,Rough Trade,"xCD, Comp + DVD-V, D/Sided + Box",2004,444361,Uncategorized,25/12/2019 12:33,25/12/2019,12:33:00,Rough Trade,,Different,CD,4
RTRADE-CD031,Hope Sandoval & The Warm Inventions,Bavarian Fruit Bread,Rough Trade,"CD, Album, RP, Dig",0,529468,Uncategorized,24/11/2019 18:46,24/11/2019,18:46:00,Rough Trade,,Different,CD,7
RTRADECD061,Low,Trust,Rough Trade,"CD, Album",2002,721880,Uncategorized,07/12/2019 22:11,12/07/2019,22:11:00,Rough Trade,,Different,CD,3
"RTRADECD094, Rtradecd094",Alasdair Roberts,Farewell Sorrow,"Rough Trade, Rough Trade","CD, Album",2003,3538087,Uncategorized,12/09/2023 01:00,09/12/2023,01:00:00,Rough Trade,Rough Trade,Same,CD,6
RR02PP,Amp,All Of Yesterday Tomorrow,RROOPP,"xCD, Album, Comp",2007,1010620,Uncategorized,01/12/2019 00:09,12/01/2019,00:09:00,RROOPP,,Different,CD,2
RCD 2005,Biosphere / Deathprod,Nordheim Transformed,Rune Grammofon,"CD, Album",1998,5796,Uncategorized,07/12/2019 22:00,12/07/2019,22:00:00,Rune Grammofon,,Different,CD,3
RCD 2021,Arve Henriksen,Sakuteiki,Rune Grammofon,"CD, Album",2001,317667,Uncategorized,01/12/2019 00:13,12/01/2019,00:13:00,Rune Grammofon,,Different,CD,6
RCD 2032,Various,Money Will Ruin Everything,Rune Grammofon,"xCD, Comp, Ltd",2003,223939,Uncategorized,22/11/2019 14:54,22/11/2019,14:54:00,Rune Grammofon,,Different,CD,4
RCD 2037,Arve Henriksen,Chiaroscuro,Rune Grammofon,"CD, Album",2004,377659,Uncategorized,01/12/2019 00:07,12/01/2019,00:07:00,Rune Grammofon,,Different,CD,3
